idx,miou,dice,pixel_acc
3090,0.6554,0.7743,0.8506
3091,0.7029,0.8073,0.8948
3092,0.8232,0.8933,0.9576
3093,0.7877,0.8674,0.9438
3094,0.6631,0.7828,0.8777
3095,0.8393,0.908,0.9521
3096,0.7861,0.8724,0.9269
3097,0.8408,0.9091,0.9444
3098,0.8307,0.9015,0.9633
3099,0.6319,0.7589,0.8084
3100,0.8694,0.9267,0.9856
3101,0.7124,0.8161,0.9268
3102,0.7777,0.8623,0.9224
3103,0.7315,0.8386,0.918
3104,0.8789,0.9306,0.9697
3105,0.7858,0.8694,0.9223
3106,0.7988,0.8782,0.9688
3107,0.8461,0.9101,0.9568
3108,0.6712,0.786,0.9465
3109,0.8915,0.9392,0.9688
3110,0.8266,0.8987,0.9393
3111,0.8616,0.921,0.9548
3112,0.8982,0.9439,0.9694
3113,0.826,0.8995,0.9275
3114,0.6887,0.7916,0.9255
3115,0.7124,0.821,0.8765
3116,0.7957,0.8774,0.9191
3117,0.747,0.8453,0.8918
3118,0.701,0.8064,0.9243
3119,0.7465,0.8421,0.9687
3120,0.6956,0.8124,0.8596
3121,0.8581,0.9193,0.9634
3122,0.852,0.9159,0.9632
3123,0.7601,0.8503,0.9205
3124,0.8565,0.9185,0.9681
3125,0.7766,0.8676,0.9026
3126,0.7597,0.8531,0.9736
3127,0.8242,0.8983,0.9474
3128,0.7183,0.8129,0.9059
3129,0.5404,0.6814,0.782
3130,0.7952,0.8755,0.9249
3131,0.7794,0.8665,0.9203
3132,0.8473,0.9108,0.9628
3133,0.8485,0.9146,0.9681
3134,0.8075,0.8856,0.9363
3135,0.7603,0.8533,0.9048
3136,0.8251,0.8974,0.9543
3137,0.5932,0.7094,0.967
3138,0.7494,0.844,0.9793
3139,0.6714,0.7829,0.8636
3140,0.647,0.7713,0.8374
3141,0.7103,0.8147,0.9802
3142,0.7764,0.8645,0.9105
3143,0.7755,0.8644,0.9329
3144,0.7496,0.8398,0.9171
3145,0.8004,0.8772,0.9451
3146,0.7949,0.8767,0.9409
3147,0.8084,0.8871,0.9469
3148,0.775,0.8619,0.9211
3149,0.8481,0.9104,0.9565
3150,0.6798,0.7892,0.9119
3151,0.7305,0.8316,0.8904
3152,0.8028,0.8845,0.9725
3153,0.8862,0.936,0.976
3154,0.5952,0.7228,0.8701
3155,0.7036,0.8221,0.8539
3156,0.9098,0.9505,0.977
3157,0.7872,0.8737,0.9332
3158,0.7558,0.8479,0.918
3159,0.8393,0.9074,0.9545
3160,0.7858,0.8729,0.9227
3161,0.8626,0.9212,0.9611
3162,0.7672,0.8582,0.973
3163,0.8195,0.8949,0.9522
3164,0.8255,0.8992,0.9302
3165,0.8325,0.9032,0.9481
3166,0.7065,0.8171,0.9088
3167,0.7843,0.8708,0.9288
3168,0.7345,0.8311,0.9142
3169,0.8367,0.9051,0.9445
3170,0.7956,0.8773,0.9564
3171,0.5297,0.6686,0.8203
3172,0.7322,0.8336,0.972
3173,0.8182,0.8926,0.973
3174,0.6815,0.8033,0.8615
3175,0.8524,0.9143,0.9572
3176,0.8053,0.8839,0.9623
3177,0.7129,0.8155,0.9236
3178,0.8101,0.8861,0.9514
3179,0.8408,0.9075,0.9724
3180,0.4283,0.5922,0.6395
3181,0.7242,0.8305,0.8774
3182,0.7512,0.8463,0.8962
3183,0.8177,0.8897,0.9417
3184,0.66,0.7785,0.8843
3185,0.8407,0.9081,0.9457
3186,0.7718,0.8591,0.9335
3187,0.8667,0.9234,0.9774
3188,0.8212,0.8948,0.9349
3189,0.7895,0.8734,0.9217
3190,0.6701,0.7914,0.8478
3191,0.2696,0.4005,0.5206
3192,0.7097,0.8085,0.8763
3193,0.5418,0.6823,0.7823
3194,0.6142,0.7476,0.8034
3195,0.6983,0.8165,0.864
3196,0.7318,0.8351,0.902
3197,0.6814,0.7973,0.8489
3198,0.8688,0.9246,0.9636
3199,0.8555,0.9163,0.9563
3200,0.7783,0.8642,0.9132
3201,0.8108,0.8863,0.9329
3202,0.7908,0.8731,0.9211
3203,0.764,0.8558,0.9482
3204,0.6602,0.7698,0.9531
3205,0.7351,0.8392,0.8947
3206,0.8419,0.9086,0.9399
3207,0.8267,0.8962,0.9581
3208,0.824,0.8976,0.9306
3209,0.7201,0.8235,0.8885
3210,0.6284,0.7558,0.8428
3211,0.8231,0.8945,0.9381
3212,0.7498,0.8433,0.9012
3213,0.7263,0.8217,0.8914
3214,0.6461,0.775,0.8174
3215,0.8234,0.8965,0.9299
3216,0.7596,0.8548,0.8955
3217,0.7931,0.87,0.9373
3218,0.7956,0.8725,0.9385
3219,0.7599,0.8521,0.9083
3220,0.4848,0.6369,0.7249
3221,0.5233,0.6745,0.7437
3222,0.8704,0.9248,0.9687
3223,0.8043,0.8807,0.9388
3224,0.6415,0.762,0.8591
3225,0.8093,0.8872,0.9224
3226,0.7878,0.873,0.9217
3227,0.5949,0.7255,0.8072
3228,0.7837,0.8652,0.9337
3229,0.7376,0.8353,0.8817
3230,0.798,0.8777,0.932
3231,0.774,0.8569,0.918
3232,0.5326,0.6793,0.7772
3233,0.8796,0.9318,0.9644
3234,0.6968,0.8064,0.9017
3235,0.8098,0.8901,0.9116
3236,0.671,0.7853,0.9169
3237,0.832,0.9013,0.9438
3238,0.7647,0.8531,0.9158
3239,0.827,0.9003,0.9423
3240,0.6819,0.794,0.8618
3241,0.6076,0.7399,0.8457
3242,0.7913,0.8739,0.9257
3243,0.6937,0.8047,0.8729
3244,0.5732,0.7158,0.7696
3245,0.6547,0.7784,0.856
3246,0.6751,0.7921,0.8287
3247,0.7735,0.8631,0.9338
3248,0.5285,0.6798,0.7396
3249,0.6925,0.8005,0.8856
3250,0.7468,0.8425,0.8967
3251,0.2385,0.3781,0.4227
3252,0.7786,0.865,0.9188
3253,0.7614,0.8529,0.9464
3254,0.8241,0.8965,0.9407
3255,0.7228,0.8261,0.8681
3256,0.6585,0.7693,0.844
3257,0.6098,0.7485,0.7941
3258,0.7568,0.8535,0.889
3259,0.8126,0.8883,0.937
3260,0.8366,0.9048,0.9441
3261,0.8144,0.889,0.9338
3262,0.8597,0.919,0.9607
3263,0.8526,0.9146,0.9538
3264,0.8055,0.8836,0.9364
3265,0.7274,0.8307,0.8963
3266,0.8024,0.8806,0.931
3267,0.7719,0.8569,0.9223
3268,0.724,0.8327,0.8825
3269,0.8751,0.9289,0.9688
3270,0.771,0.8627,0.8994
3271,0.7063,0.8134,0.883
3272,0.6611,0.777,0.9174
3273,0.7876,0.8682,0.9317
3274,0.7522,0.8477,0.9543
3275,0.8483,0.9115,0.9556
3276,0.7771,0.86,0.9338
3277,0.4864,0.624,0.7548
3278,0.8262,0.8966,0.9393
3279,0.7607,0.8492,0.9086
3280,0.7632,0.8517,0.9209
3281,0.5359,0.673,0.8441
3282,0.8273,0.8985,0.945
3283,0.7281,0.8291,0.9493
3284,0.556,0.7045,0.7811
3285,0.6743,0.7985,0.8407
3286,0.6829,0.7942,0.9029
3287,0.7342,0.8357,0.894
3288,0.6733,0.7793,0.8922
3289,0.8612,0.9216,0.9617
3290,0.8098,0.8844,0.9352
3291,0.6156,0.7544,0.802
3292,0.8176,0.8927,0.9396
3293,0.8131,0.8887,0.9496
3294,0.7227,0.8266,0.8959
3295,0.6641,0.7867,0.8544
3296,0.8056,0.8865,0.9274
3297,0.7769,0.8629,0.9152
3298,0.8296,0.8996,0.9446
3299,0.7966,0.8701,0.9514
3300,0.8379,0.9061,0.9589
3301,0.8308,0.9016,0.9358
3302,0.6835,0.8012,0.8364
3303,0.7793,0.8693,0.8983
3304,0.8719,0.927,0.96
3305,0.7137,0.8111,0.9032
3306,0.7831,0.8683,0.9473
3307,0.8683,0.9242,0.961
3308,0.7323,0.8275,0.9039
3309,0.5275,0.6484,0.8823
3310,0.8086,0.888,0.9314
3311,0.805,0.8837,0.9184
3312,0.6203,0.7425,0.8222
3313,0.6665,0.7941,0.8506
3314,0.8424,0.9081,0.9471
3315,0.4265,0.5748,0.6718
3316,0.5475,0.6882,0.8007
3317,0.7476,0.8446,0.8995
3318,0.8277,0.8998,0.9492
3319,0.4323,0.5792,0.7167
3320,0.6166,0.7361,0.8309
3321,0.7181,0.8205,0.9037
3322,0.57,0.7138,0.785
3323,0.7786,0.867,0.9253
3324,0.6901,0.804,0.8673
3325,0.5938,0.7341,0.814
3326,0.8053,0.8825,0.9281
3327,0.8396,0.9088,0.9592
3328,0.7734,0.8652,0.9008
3329,0.8005,0.8775,0.9404
3330,0.8354,0.9042,0.9675
3331,0.7754,0.865,0.9069
3332,0.5911,0.7206,0.8375
3333,0.6356,0.757,0.907
3334,0.7831,0.8699,0.9219
3335,0.4371,0.5863,0.6948
3336,0.5747,0.7024,0.8424
3337,0.5589,0.6995,0.7753
3338,0.839,0.9069,0.9572
3339,0.8737,0.9288,0.9695
3340,0.6338,0.7635,0.8464
3341,0.5522,0.7019,0.777
3342,0.8212,0.8959,0.9317
3343,0.6758,0.7952,0.8531
3344,0.6474,0.7578,0.9587
3345,0.7429,0.8376,0.9175
3346,0.7235,0.8211,0.9097
3347,0.8124,0.8867,0.9508
3348,0.5263,0.6463,0.8356
3349,0.8499,0.9145,0.9554
3350,0.8095,0.8852,0.9379
3351,0.5784,0.7275,0.7728
3352,0.8432,0.9089,0.9683
3353,0.7929,0.8771,0.9084
3354,0.7944,0.877,0.929
3355,0.768,0.8528,0.9662
3356,0.6584,0.7891,0.8288
3357,0.7201,0.8219,0.8912
3358,0.7632,0.856,0.9089
3359,0.7639,0.8571,0.9048
3360,0.7874,0.8747,0.9415
3361,0.5303,0.6862,0.7352
3362,0.5682,0.7206,0.7515
3363,0.8449,0.9105,0.9673
3364,0.6469,0.7701,0.8458
3365,0.5939,0.7247,0.8825
3366,0.8097,0.885,0.9435
3367,0.7993,0.8798,0.9557
3368,0.591,0.7332,0.7869
3369,0.7322,0.834,0.8876
3370,0.5474,0.6832,0.7998
3371,0.8849,0.9345,0.9733
3372,0.7676,0.86,0.9092
3373,0.8456,0.9114,0.9574
3374,0.455,0.5794,0.7901
3375,0.7743,0.8611,0.9249
3376,0.8198,0.8942,0.94
3377,0.5872,0.7281,0.7993
3378,0.4413,0.5795,0.7789
3379,0.6467,0.7663,0.8746
3380,0.7898,0.8737,0.9521
3381,0.7812,0.8664,0.9208
3382,0.8103,0.886,0.9415
3383,0.8498,0.9138,0.9575
3384,0.6577,0.7676,0.9554
3385,0.7213,0.8277,0.8935
3386,0.6748,0.7934,0.84
3387,0.7319,0.8324,0.9444
3388,0.6954,0.8051,0.9219
3389,0.7159,0.8236,0.8546
3390,0.8521,0.9155,0.9646
3391,0.8412,0.9071,0.9855
3392,0.8066,0.8833,0.9689
3393,0.6934,0.8045,0.8619
3394,0.5911,0.7149,0.8155
3395,0.5736,0.7139,0.8242
3396,0.7583,0.8506,0.9589
3397,0.8028,0.8842,0.9545
